option_state,option_owner,strike,amount,strikeAmount.mul(optionCollateralizationRatio).div(100).add(strikeFee),premium,expiration_date,optionType,market
2,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572,1000000000000000000,1000000000000000000,69975000000000000,1604784056,2,eth_options
1,0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,37232447572,50000000000000000000,50000000000000000000,3498750000000000000,1604784207,1,eth_options
1,0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,37232447572,50000000000000000000,50000000000000000000,3498750000000000000,1604784217,2,eth_options
3,0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,37400000000,32000000000000000000,32000000000000000000,421638156312625250,1602451763,1,eth_options
3,0x45223f8E765457604A711062F158Bf093De8f636,37425000000,500000000000000000,500000000000000000,17482500000000000,1602970633,2,eth_options
2,0x3c3698258060EB0e633daB458d96a7a8B34Db9b6,37425000000,25000000000000000000,25000000000000000000,1749375000000000000,1604785092,2,eth_options
1,0xD09f4955a9D00543DE67A293c01c928226bd756A,37475016580,5000000000000000000,5000000000000000000,349875000000000000,1604785506,1,eth_options
3,0x0d7bB1Ec806c6f314ac19533CE585b1698867F6a,37475016580,15000000000000000000,15000000000000000000,741825000000000000,1603576134,1,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,50000000000000000000,50000000000000000000,13131816282238500,1604785903,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,10000000000000000000,10000000000000000000,262636325644770,1604786030,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,50000000000000000000,50000000000000000000,1313181628223850,1604786090,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,22000000000000000000,22000000000000000000,5779903019549670,1604786138,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,60000000000000000000,60000000000000000000,15764947650000000,1604786549,2,eth_options
1,0x0E7aF95de26BF10E6B9f00D846C22757aa582B9C,37549000000,4000000000000000000,4000000000000000000,279900000000000000,1604786568,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,60000000000000000000,60000000000000000000,1576494765000000,1604786604,2,eth_options
3,0xEb91FbD00444FcB9078030933A9beaB5a8C731FC,37549000000,12000000000000000000,12000000000000000000,419580000000000000,1602972235,1,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,20000000000000000000,20000000000000000000,5254982550000000,1604786752,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,20000000000000000000,20000000000000000000,525498255000000,1604786778,2,eth_options
1,0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,37549000000,2000000000000000000,2000000000000000000,139950000000000000,1604786907,1,eth_options
1,0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,37549000000,2000000000000000000,2000000000000000000,139950000000000000,1604786911,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,200000000000000000000,200000000000000000000,52549825500000000,1604787167,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,500000000000000,190000000000000000000,190000000000000000000,998446684500000,1604787189,2,eth_options
1,0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,37549000000,5000000000000000000,5000000000000000000,349875000000000000,1604787367,2,eth_options
1,0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,37549000000,5000000000000000000,5000000000000000000,349875000000000000,1604787367,1,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,12000000000000000000,12000000000000000000,3151668395226420,1604787654,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,10000000000000,12000000000000000000,12000000000000000000,3151668395226420,1604787662,2,eth_options
3,0xC507ad80e55d6601F8baE8B3456a71979171Fc0F,37533266586,2400000000000000000,2400000000000000000,118692000000000000,1603578285,1,eth_options
1,0x0E7aF95de26BF10E6B9f00D846C22757aa582B9C,700000000000000,1000000000000000000,1000000000000000000,3751986184793,1604787984,2,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37533266586,4000000000000000000,4000000000000000000,52740000000000000,1602455255,1,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,15000000000000000000,15000000000000000000,3939585494033025,1604788253,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37533266586,4000000000000000000,4000000000000000000,242280000000000000,1604183516,2,eth_options
3,0x092faC9f89195E6f63aA74604c1a9e4c1b4B6aCF,37533266586,1000000000000000000,1000000000000000000,13185000000000000,1602455981,1,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,75000000000000000000,75000000000000000000,19697927470165125,1604788802,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,75000000000000000000,75000000000000000000,1969792747016512,1604788802,2,eth_options
1,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37533266586,4000000000000000000,4000000000000000000,242280000000000000,1604184062,1,eth_options
3,0xC507ad80e55d6601F8baE8B3456a71979171Fc0F,100000000000000,6000000000000000000,6000000000000000000,29692567196184,1602456385,2,eth_options
1,0x8Dc82ddbf1EfB4BeFcb577B1c0A6EfB812A0c562,37533266586,300000000000000000,300000000000000000,20992500000000000,1604789266,1,eth_options
3,0x2047c55d7C6C94471f8186e349592cFfFEe185f8,36000000000,1000000000000000000,1000000000000000000,33536649337883985,1602974947,1,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37533266586,10000000000000000000,10000000000000000000,494550000000000000,1603580236,2,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37533266586,10000000000000000000,10000000000000000000,494550000000000000,1603580451,2,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37533266586,10000000000000000000,10000000000000000000,494550000000000000,1603580470,1,eth_options
3,0xF3e5ace7b07568da95270983eEd63E04B4BA509E,37533000000,30000000000000000,30000000000000000,395547190543166,1602457699,1,eth_options
2,0x03de28456f987281Df43137f0a281152bE77AAe4,38000000000,1500000000000000000,1500000000000000000,103673302474553289,1604790506,2,eth_options
1,0x9E9ddAAE1bcFcb13f4F1720B561Fed7EB0AD03E0,100000000000000,1990000000000000000,1990000000000000000,52265167554171,1604790615,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,15000000000000000000,15000000000000000000,392517765000000,1604790756,2,eth_options
3,0x588d91aBF5192A0f0dc026bF05f510253bD1CF51,35000000000,1000000000000000000,1000000000000000000,12340223553321210,1602458045,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37396000000,800000000000000000,800000000000000000,55980000000000000,1604791262,1,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37396000000,6400000000000000000,6400000000000000000,387648000000000000,1604186848,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37221000000,8000000000000000000,8000000000000000000,484560000000000000,1604187033,2,eth_options
1,0x9E9ddAAE1bcFcb13f4F1720B561Fed7EB0AD03E0,100000000000000,400000000000000000,400000000000000000,10367374308996,1604792249,2,eth_options
